housing_id,housing_name,park_id,park_name,park_type,straight_m,walk_m,walk_sec,status
642,신정이펜하우스5단지(신정3지구5단지),493,하늘마루,어린이공원,228,338,284,ok
630,신정삼성(신정6-2),514,사슴,어린이공원,319,601,470,ok
656,솔리스타(목동 793-6),1316,달빛,어린이공원,115,281,234,ok
659,목동현대A,485,신세계,어린이공원,234,450,360,ok
632,목동현대B,484,신정,어린이공원,260,348,276,ok
691,용산롯데캐슬센터포레,175,녹색소공원,소공원,39,158,126,ok
688,산천리버힐삼성(산천삼성),150,신창동어린이공원,어린이공원,212,301,235,ok
696,어반허브 서울 스테이션,131,청파문화공원,문화공원,287,526,394,ok
689,도원삼성(도원),147,도원어린이공원,어린이공원,316,588,440,ok
697,용산 남영역 롯데캐슬 헤리티지,161,해님공원,소공원,281,494,414,ok
695,용산원효루미니(용산구 원효로1가 104),135,돌모루어린이공원,어린이공원,166,172,132,ok
693,역세권 공공(한강로 2가 2-350 일원),153,문배어린이공원,어린이공원,185,224,225,ok
692,용산센트럴파크 헤링턴스퀘어(국제4구역),152,기와터공원,근린공원,299,485,391,ok
694,효창파크뷰데시앙(효창6),176,효창6소공원,소공원,137,197,165,ok
690,용산e편한세상(신계),136,신계공원,역사공원,184,466,383,ok
715,구산그린빌,1100,구  산,근린공원,389,784,636,ok
744,백련산파크자이,1084,응암동새싹어린이공원,어린이공원,56,176,141,ok
736,산새마을 두레주택,1077,개나리어린이공원,근린공원,112,129,101,ok
763,연신내역 루체스테이션,1155,물빛공원,기타공원,177,273,257,ok
765,센트레빌 아스테리움 시그니처,1100,구  산,근린공원,360,413,338,ok
756,초행지붕-신사,1128,구산마을마당,기타공원,481,1109,898,ok
733,갈현 공공기숙사(희망하우징),1064,박석어린이공원,어린이공원,245,361,294,ok
749,힐스테이트녹번역(응암1),1091,백  련,근린공원,132,1117,907,ok
740,은뜨락(서울리츠1호),1104,마고정,근린공원,271,574,457,ok
725,"구파발10-2단지(은평3-4,임대)",1095,물 푸 레,근린공원,522,754,639,ok
730,"구파발10-3단지(은평3-5,임대)",1089,서오능,근린공원,478,849,684,ok
745,백련산해모로(응암11),1123,해바람소공원,소공원,97,202,153,ok
738,힐스테이트(녹번제1-1구역),1120,녹번동산들바람소공원,소공원,232,345,303,ok
714,"박석고개1-1단지(은평2-12,임대)",1104,마고정,근린공원,56,94,75,ok
734,"기자촌11단지(은평3-12,임대)",1105,우물골,근린공원,656,728,577,ok
739,래미안베라힐즈아파트(녹번1-2구역),1120,녹번동산들바람소공원,소공원,134,138,114,ok
735,북한산푸르지오(녹번1-3),1083,양천리누리터 어린이공원,어린이공원,166,253,193,ok
713,"박석고개1-3단지(은평2-1,임대)",1104,마고정,근린공원,195,249,215,ok
727,백련산힐스테이트1차(응암7),1111,백련산숲속소공원,소공원,240,378,282,ok
741,응암역효성해링턴플레이스(신사19),1119,풋나무골소공원,소공원,87,130,118,ok
757,서해그랑블(구산동198-3),1062,길마어린이공원,어린이공원,290,370,310,ok
746,녹번역이편한세상캐슬(응암2구역),1124,은평마루소공원,소공원,40,260,204,ok
742,이룸채(은평준주거2),1116,폭포동소공원,소공원,139,139,127,ok
698,수색대림(수색2-1),1122,DMC소공원,소공원,528,1569,1182,ok
719,"우물골2-1단지(은평2-4,임대)",1105,우물골,근린공원,130,173,154,ok
720,"우물골2-2단지(은평2-5,임대)",1105,우물골,근린공원,143,186,161,ok
750,대조동 26-10 행복주택(다세대),1151,팜스퀘어 소공원,기타공원,260,429,338,ok
728,백련산힐스테이트2차(응암8),1086,응암동행복어린이공원,어린이공원,237,566,469,ok
759,역세권 공공(은평구 대조동 2-9),1114,아미산자락소공원,소공원,380,579,473,ok
752,신사동 29-160 행복주택(다세대),1075,신흥어린이공원,어린이공원,203,296,230,ok
731,녹번센트레빌(응암3),1115,놀뫼소공원,소공원,23,68,56,ok
758,초행지붕_신사동 300-56 행복주택(빈집정비),1128,구산마을마당,기타공원,445,1042,843,ok
718,"마고정3-1단지(은평2-11,임대)",1093,향   림,근린공원,252,982,780,ok
716,"마고정3-2단지(은평2-3,임대)",1105,우물골,근린공원,150,150,177,ok
723,북한산힐스테이트3차(불광3),1132,자투리(신사동)마을마당,기타공원,213,442,378,ok
717,"마고정3-3단지(은평2-2,임대)",1105,우물골,근린공원,265,329,263,ok
729,백련산힐스테이트3차(응암9),1111,백련산숲속소공원,소공원,197,227,194,ok
737,힐스테이트백련산4차,1086,응암동행복어린이공원,어린이공원,84,85,93,ok
732,불광롯데캐슬(불광4),1127,불광동위령탑마을마당,기타공원,243,393,332,ok
721,"폭포동4-1단지(은평3-10,임대)",1093,향   림,근린공원,373,1138,903,ok
748,역촌동 44-2 행복주택(다세대),1108,역촌동동소공원,소공원,138,219,188,ok
724,북한산래미안(불광6),1087,북한산,근린공원,345,716,554,ok
708,"상림마을6-1단지(은평1-8,임대)",1112,불광동3구역소공원,소공원,138,199,189,ok
707,"상림마을6-2단지(은평1-7,임대)",1112,불광동3구역소공원,소공원,327,445,363,ok
706,"상림마을6-3단지(은평1-6,임대)",1101,상림,근린공원,168,185,154,ok
705,"상림마을6-4단지(은평1-5,임대)",1112,불광동3구역소공원,소공원,74,128,107,ok
726,북한산힐스테이트(불광7),1114,아미산자락소공원,소공원,278,423,351,ok
709,"상림마을7-1단지(은평1-9,임대)",1102,못자리골,근린공원,130,182,180,ok
704,"상림마을7-2단지(은평1-4,임대)",1102,못자리골,근린공원,132,212,172,ok
703,"상림마을7-3단지(은평1-3,임대)",1102,못자리골,근린공원,94,127,111,ok
710,"상림마을7-4단지(은평1-10,임대)",1102,못자리골,근린공원,156,229,213,ok
711,"상림마을7-5단지(은평1-11,임대)",1102,못자리골,근린공원,307,426,355,ok
702,"상림마을8-1단지(은평1-2,임대)",1103,덕수천,근린공원,103,215,179,ok
701,"상림마을8-2단지(은평1-1,임대)",1103,덕수천,근린공원,155,254,212,ok
712,"상림마을8-3단지(은평1-12,임대)",1103,덕수천,근린공원,287,406,362,ok
751,역촌동 85-9 행복주택(다세대),1108,역촌동동소공원,소공원,109,182,132,ok
722,"구파발9-1단지(은평3-3,임대)",1103,덕수천,근린공원,347,463,389,ok
754,DMC센트럴자이(증산2),1122,DMC소공원,소공원,303,606,491,ok
755,DMC센트럴자이(증산2)_2단지,1122,DMC소공원,소공원,303,606,491,ok
747,DMC롯데캐슬더퍼스트(수색4),1121,수색4구역 소공원,소공원,288,300,250,ok
761,DMC파인시티자이(수색6),1121,수색4구역 소공원,소공원,344,745,604,ok
760,DMC아트포레자이(수색7),1121,수색4구역 소공원,소공원,344,745,604,ok
